district,year,week,rainfall_mm,temp_avg_c,humidity_pct
Anuradhapura,2020,4,7.8,25.125714285714285,85.74571428571429
Anuradhapura,2020,5,0.04,23.868571428571425,82.89428571428572
Anuradhapura,2020,6,0.01,24.28142857142857,82.40857142857143
Anuradhapura,2020,7,0.27,25.22142857142857,81.4057142857143
Anuradhapura,2020,8,17.62,25.255714285714284,80.02
Anuradhapura,2020,9,0.59,26.19142857142857,76.11428571428571
Anuradhapura,2020,10,3.59,27.03,71.92285714285715
Anuradhapura,2020,11,0.18,27.635714285714283,69.04
Anuradhapura,2020,12,3.41,28.535714285714285,69.09142857142857
Anuradhapura,2020,13,3.7,28.22142857142857,66.46142857142857
Anuradhapura,2020,14,4.66,28.782857142857143,67.86285714285715
Anuradhapura,2020,15,11.280000000000001,29.694285714285716,64.97714285714285
Anuradhapura,2020,16,28.43,29.898571428571426,69.58857142857143
Anuradhapura,2020,17,31.36,29.987142857142857,70.89428571428572
Anuradhapura,2020,18,16.23,30.01571428571429,70.74571428571429
Anuradhapura,2020,19,104.03,28.722857142857144,78.96285714285715
Anuradhapura,2020,20,38.68,28.25714285714286,82.74000000000001
Anuradhapura,2020,21,8.43,28.13714285714286,80.80857142857143
Anuradhapura,2020,22,1.55,28.31142857142857,80.89999999999999
Anuradhapura,2020,23,7.25,27.975714285714286,77.12857142857142
Anuradhapura,2020,24,2.98,28.488571428571426,75.44857142857143
Anuradhapura,2020,25,4.86,28.715714285714284,74.25428571428571
Anuradhapura,2020,26,43.68,27.714285714285715,76.03
Anuradhapura,2020,27,0.8,27.59,77.32142857142857
Anuradhapura,2020,28,35.1,27.274285714285714,79.37571428571428
Anuradhapura,2020,29,27.009999999999998,27.267142857142858,80.12571428571428
Anuradhapura,2020,30,12.31,26.737142857142857,79.86428571428571
Anuradhapura,2020,31,33.379999999999995,26.568571428571428,80.75285714285714
Anuradhapura,2020,32,12.75,27.03,78.01714285714286
Anuradhapura,2020,33,0.39,28.115714285714287,73.60714285714286
Anuradhapura,2020,34,0.07,28.812857142857144,71.38
Anuradhapura,2020,35,1.78,29.107142857142858,69.14714285714285
Anuradhapura,2020,36,45.84,27.525714285714287,77.26142857142858
Anuradhapura,2020,37,117.12,26.618571428571432,82.04714285714284
Anuradhapura,2020,38,3.1999999999999997,26.677142857142858,81.81428571428572
Anuradhapura,2020,39,4.26,26.815714285714286,80.10857142857142
Anuradhapura,2020,40,11.72,27.19,78.73428571428572
Anuradhapura,2020,41,16.900000000000002,27.25142857142857,77.41857142857144
Anuradhapura,2020,42,15.93,27.65142857142857,77.17571428571429
Anuradhapura,2020,43,7.66,27.81714285714286,75.29285714285713
Anuradhapura,2020,44,20.07,27.485714285714288,77.5942857142857
Anuradhapura,2020,45,61.83,27.244285714285716,81.68999999999998
Anuradhapura,2020,46,165.35,26.262857142857143,90.65428571428572
Anuradhapura,2020,47,63.8,25.525714285714287,88.97714285714287
Anuradhapura,2020,48,31.95,25.30857142857143,89.67857142857143
Anuradhapura,2020,49,161.24,25.44,92.44000000000001
Anuradhapura,2020,50,10.75,24.87142857142857,87.05285714285715
Anuradhapura,2020,51,56.56,24.63,89.45714285714287
Anuradhapura,2020,52,94.97999999999999,24.608571428571427,90.41857142857144
Anuradhapura,2020,53,54.269999999999996,25.03142857142857,90.55714285714285
Anuradhapura,2021,1,89.00999999999999,24.954285714285714,92.51142857142858
Anuradhapura,2021,2,119.28,24.75714285714286,92.92285714285715
Anuradhapura,2021,3,6.03,24.544285714285714,89.13857142857144
Anuradhapura,2021,4,22.95,24.035714285714285,86.20142857142856
Anuradhapura,2021,5,20.18,24.395714285714288,87.92999999999999
Anuradhapura,2021,6,0.9400000000000001,23.392857142857142,83.75285714285714
Anuradhapura,2021,7,11.260000000000002,24.93285714285714,86.18285714285715
Anuradhapura,2021,8,2.71,24.71,83.67142857142858
Anuradhapura,2021,9,3.86,24.548571428571428,83.48714285714286
Anuradhapura,2021,10,22.23,25.747142857142855,85.91
Anuradhapura,2021,11,4.9,25.742857142857144,81.69142857142857
Anuradhapura,2021,12,7.51,26.534285714285716,82.23142857142857
Anuradhapura,2021,13,2.32,28.24285714285714,75.35000000000001
Anuradhapura,2021,14,20.310000000000002,28.178571428571427,74.16428571428571
Anuradhapura,2021,15,64.48,27.044285714285714,82.84714285714287
Anuradhapura,2021,16,11.71,28.110000000000003,79.2
Anuradhapura,2021,17,26.29,28.002857142857142,81.67857142857143
Anuradhapura,2021,18,38.65,27.737142857142857,82.36571428571428
Anuradhapura,2021,19,32.31,27.155714285714286,87.21285714285715
Anuradhapura,2021,20,21.97,27.535714285714285,83.76428571428572
Anuradhapura,2021,21,15.31,27.74857142857143,80.83428571428571
Anuradhapura,2021,22,30.820000000000004,27.639999999999997,83.46000000000001
Anuradhapura,2021,23,3.2199999999999998,27.701428571428572,80.60428571428572
Anuradhapura,2021,24,3.04,27.725714285714286,78.66857142857144
Anuradhapura,2021,25,5.869999999999999,27.72,78.10714285714286
Anuradhapura,2021,26,4.98,27.939999999999998,76.81857142857143
Anuradhapura,2021,27,25.36,27.52285714285714,78.82857142857142
Anuradhapura,2021,28,63.24,27.25,81.64714285714285
Anuradhapura,2021,29,2.48,27.527142857142856,78.32714285714285
Anuradhapura,2021,30,1.77,28.05857142857143,75.90857142857143
Anuradhapura,2021,31,3.37,28.307142857142857,74.06714285714285
Anuradhapura,2021,32,19.479999999999997,27.43857142857143,76.44428571428571
Anuradhapura,2021,33,9.959999999999999,27.610000000000003,74.55142857142857
Anuradhapura,2021,34,7.869999999999999,27.684285714285714,75.42285714285715
Anuradhapura,2021,35,21.470000000000002,27.607142857142858,76.76142857142858
Anuradhapura,2021,36,1.0,28.194285714285716,73.11428571428571
Anuradhapura,2021,37,27.520000000000003,28.12142857142857,76.78
Anuradhapura,2021,38,49.17,27.724285714285713,79.72
Anuradhapura,2021,39,46.64,26.814285714285717,81.15285714285713
Anuradhapura,2021,40,65.24000000000001,26.442857142857143,87.04571428571428
Anuradhapura,2021,41,27.11,26.821428571428573,83.66857142857143
Anuradhapura,2021,42,38.42,26.71,83.90428571428572
Anuradhapura,2021,43,165.81,25.81714285714286,88.29571428571428
Anuradhapura,2021,44,109.91,25.504285714285714,90.63571428571427
Anuradhapura,2021,45,156.70000000000002,25.032857142857143,92.7042857142857
Anuradhapura,2021,46,40.949999999999996,25.512857142857143,90.83714285714287
Anuradhapura,2021,47,183.96,25.237142857142857,92.69714285714285
Anuradhapura,2021,48,39.6,25.71,87.35142857142857
Anuradhapura,2021,49,22.32,25.478571428571428,88.36714285714287
Anuradhapura,2021,50,54.81,24.91142857142857,90.56428571428572
Anuradhapura,2021,51,1.58,23.69142857142857,85.46857142857142
Anuradhapura,2021,52,67.3,24.937142857142856,87.39714285714285
Anuradhapura,2022,1,47.86,24.955714285714286,89.95857142857143
Anuradhapura,2022,2,10.79,25.26571428571429,88.57428571428571
Anuradhapura,2022,3,3.19,23.562857142857144,82.30285714285715
Anuradhapura,2022,4,5.59,24.325714285714287,85.52142857142857
Anuradhapura,2022,5,0.18000000000000002,23.851428571428574,83.33428571428571
Anuradhapura,2022,6,79.8,24.544285714285714,86.37
Anuradhapura,2022,7,11.19,24.490000000000002,85.14571428571428
Anuradhapura,2022,8,30.6,25.215714285714284,84.79142857142857
Anuradhapura,2022,9,14.28,25.259999999999998,85.15714285714286
Anuradhapura,2022,10,0.22,25.917142857142856,83.67285714285715
Anuradhapura,2022,11,6.9,26.767142857142858,78.72857142857143
Anuradhapura,2022,12,21.919999999999998,27.708571428571428,80.23714285714286
Anuradhapura,2022,13,17.9,28.138571428571428,78.02428571428571
Anuradhapura,2022,14,93.9,27.00714285714286,82.06714285714285
Anuradhapura,2022,15,107.86,26.624285714285715,88.74571428571429
Anuradhapura,2022,16,47.3,26.96,87.14857142857143
Anuradhapura,2022,17,28.17,27.575714285714287,85.37714285714286
Anuradhapura,2022,18,8.959999999999999,27.42142857142857,88.23714285714286
Anuradhapura,2022,19,4.08,27.232857142857142,85.1842857142857
Anuradhapura,2022,20,9.29,27.27857142857143,85.33285714285714
Anuradhapura,2022,21,18.939999999999998,26.875714285714285,86.95
Anuradhapura,2022,22,2.81,26.958571428571428,83.78999999999999
Anuradhapura,2022,23,1.5,26.96142857142857,82.66285714285713
Anuradhapura,2022,24,36.79,26.795714285714286,83.29571428571428
Anuradhapura,2022,25,1.43,27.255714285714284,79.82000000000001
Anuradhapura,2022,26,1.52,28.07,76.42714285714285
Anuradhapura,2022,27,2.76,27.58857142857143,73.98285714285714
Anuradhapura,2022,28,7.62,27.577142857142857,74.70428571428572
Anuradhapura,2022,29,49.88,27.26571428571429,80.88
Anuradhapura,2022,30,48.14,26.954285714285714,80.24285714285715
Anuradhapura,2022,31,11.67,26.87,79.10857142857142
Anuradhapura,2022,32,0.21000000000000002,27.987142857142857,73.76857142857143
Anuradhapura,2022,33,12.83,28.087142857142858,75.52571428571427
Anuradhapura,2022,34,32.34,26.577142857142857,80.08428571428571
Anuradhapura,2022,35,42.65,26.38,82.98285714285714
Anuradhapura,2022,36,20.779999999999998,26.75857142857143,79.92428571428572
Anuradhapura,2022,37,0.02,27.71142857142857,74.63857142857144
Anuradhapura,2022,38,2.3800000000000003,28.21142857142857,71.05428571428571
Anuradhapura,2022,39,12.379999999999999,27.915714285714284,74.08142857142856
Anuradhapura,2022,40,12.870000000000001,27.618571428571432,73.58571428571429
Anuradhapura,2022,41,72.82,27.074285714285715,81.27571428571427
Anuradhapura,2022,42,73.84,25.834285714285716,86.47
Anuradhapura,2022,43,53.51,25.745714285714286,83.20142857142856
Anuradhapura,2022,44,111.05,25.52285714285714,89.3442857142857
Anuradhapura,2022,45,104.67,24.981428571428573,90.14428571428572
Anuradhapura,2022,46,16.84,24.72,87.29285714285713
Anuradhapura,2022,47,1.98,24.962857142857143,84.74714285714286
Anuradhapura,2022,48,47.59,25.222857142857144,87.27857142857144
Anuradhapura,2022,49,71.85,23.93285714285714,88.07428571428571
Anuradhapura,2022,50,7.82,24.814285714285713,86.48
Anuradhapura,2022,51,156.82999999999998,24.974285714285713,92.93142857142857
Anuradhapura,2022,52,7.390000000000001,24.455714285714286,88.56428571428572
Anuradhapura,2023,1,59.8,23.951428571428572,87.57714285714285
Anuradhapura,2023,2,0.5599999999999999,22.617142857142856,83.64142857142858
Anuradhapura,2023,3,9.6,23.464285714285715,84.60428571428572
Anuradhapura,2023,4,32.72,23.851428571428574,87.24285714285715
Anuradhapura,2023,5,168.48,24.641428571428573,90.86428571428571
Anuradhapura,2023,6,3.6,24.10571428571429,86.61285714285714
Anuradhapura,2023,7,3.34,23.395714285714284,85.22857142857143
Anuradhapura,2023,8,2.92,23.77857142857143,82.91142857142857
Anuradhapura,2023,9,21.669999999999998,25.198571428571427,84.46714285714286
Anuradhapura,2023,10,5.28,25.58285714285714,85.69571428571429
Anuradhapura,2023,11,28.6,26.157142857142855,84.88428571428572
Anuradhapura,2023,12,42.31,26.975714285714286,82.95428571428572
Anuradhapura,2023,13,10.22,27.03142857142857,79.39999999999999
Anuradhapura,2023,14,34.86,26.922857142857143,82.47571428571429
Anuradhapura,2023,15,11.43,27.73857142857143,77.95142857142856
Anuradhapura,2023,16,9.2,28.37,77.01285714285714
Anuradhapura,2023,17,35.18,28.045714285714286,79.63857142857144
Anuradhapura,2023,18,141.29,26.187142857142856,89.80999999999999
Anuradhapura,2023,19,12.35,26.93285714285714,84.96285714285715
Anuradhapura,2023,20,2.9699999999999998,27.654285714285717,87.25571428571428
Anuradhapura,2023,21,1.06,27.771428571428572,84.66142857142857
Anuradhapura,2023,22,5.53,27.91857142857143,82.07000000000001
Anuradhapura,2023,23,0.71,28.169999999999998,80.42
