district,date,rain_sum,precipitation_sum,daylight_duration,uv_index_max,temp_max,temp_min,temp_daily_avg,humidity_daily_avg,rain_daily_total,precip_prob_daily_avg,dew_point_avg
Vavuniya,2025-12-07,0.0,0.5,41872.7,5.1,29.4,23.3,25.575,86.375,0.0,16.291666666666668,22.945833333333336
Vavuniya,2025-12-08,0.0,0.0,41863.64,7.1,30.8,23.0,25.791666666666668,81.25,0.0,8.458333333333334,21.8875
Vavuniya,2025-12-09,0.0,8.1,41855.22,6.0,26.2,23.4,24.3625,91.95833333333333,0.0,46.875,22.945833333333336
Vavuniya,2025-12-10,0.0,8.7,41847.48,4.85,27.7,22.8,24.733333333333334,91.5,0.0,41.958333333333336,23.195833333333336
Vavuniya,2025-12-11,0.0,5.1,41840.42,6.65,28.3,22.9,24.916666666666668,90.125,0.0,38.041666666666664,23.09166666666667
Vavuniya,2025-12-12,0.0,2.1,41834.08,4.25,28.0,22.6,24.858333333333334,88.41666666666667,0.0,19.541666666666668,22.691666666666666
Mullaitivu,2025-12-06,0.0,6.5,41780.88,7.6,30.0,24.1,26.108333333333334,86.70833333333333,0.0,27.791666666666668,23.6125
Mullaitivu,2025-12-07,0.0,3.2,41770.59,7.3,28.0,23.9,25.516666666666666,88.83333333333333,0.0,34.625,23.508333333333336
Mullaitivu,2025-12-08,0.0,1.4,41760.96,6.9,30.3,23.7,26.025000000000002,81.625,0.0,12.0,22.400000000000002
Mullaitivu,2025-12-09,0.4,27.7,41752.04,6.85,25.7,24.0,24.65833333333333,93.5,0.4,64.79166666666667,23.541666666666668
Mullaitivu,2025-12-10,0.0,12.4,41743.83,3.05,26.6,23.5,24.8875,93.125,0.0,61.5,23.695833333333336
Mullaitivu,2025-12-11,0.0,15.7,41736.35,5.2,27.0,23.7,25.099999999999998,91.875,0.0,47.208333333333336,23.670833333333334
Mullaitivu,2025-12-12,0.0,5.7,41729.62,2.25,27.4,23.5,25.191666666666666,88.875,0.0,35.041666666666664,23.179166666666664
Batticaloa,2025-12-06,0.0,2.6,42084.72,7.85,29.9,24.0,26.46666666666667,86.79166666666667,0.0,28.458333333333332,23.96666666666667
Batticaloa,2025-12-07,0.0,3.9,42076.19,7.35,29.2,24.0,26.183333333333334,87.16666666666667,0.0,25.541666666666668,23.804166666666664
Batticaloa,2025-12-08,0.0,0.9,42068.21,6.0,30.1,24.2,26.34166666666667,84.0,0.0,26.5,23.258333333333336
Batticaloa,2025-12-09,0.0,12.6,42060.81,7.05,27.8,24.0,25.3875,90.70833333333333,0.0,50.083333333333336,23.745833333333334
Batticaloa,2025-12-10,0.0,7.9,42054.0,7.15,27.7,24.2,25.641666666666666,91.66666666666667,0.0,47.208333333333336,24.1375
Batticaloa,2025-12-11,0.0,6.9,42047.79,7.45,28.0,24.1,25.8125,89.16666666666667,0.0,36.291666666666664,23.849999999999998
Batticaloa,2025-12-12,0.0,1.2,42042.21,6.9,28.4,23.8,25.808333333333334,88.29166666666667,0.0,25.75,23.666666666666668
Ampara,2025-12-06,0.0,0.8,42185.54,7.8,31.2,23.5,26.504166666666666,83.75,0.0,20.583333333333332,23.28333333333333
